[08-Feb-2018 23:17:16 Asia/Tokyo] PHP Fatal error:  Call to undefined function App\Controller\contain() in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:26:22 Asia/Tokyo] PHP Fatal error:  Call to a member function findByComments() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:26:37 Asia/Tokyo] PHP Fatal error:  Call to a member function findById() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:26:54 Asia/Tokyo] PHP Fatal error:  Call to a member function findById() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:27:06 Asia/Tokyo] PHP Fatal error:  Call to a member function findByComment() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:27:11 Asia/Tokyo] PHP Fatal error:  Call to a member function findByComments() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:27:24 Asia/Tokyo] PHP Fatal error:  Call to a member function findBySlug() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:27:35 Asia/Tokyo] PHP Fatal error:  Call to a member function findBycommens() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:29:27 Asia/Tokyo] PHP Fatal error:  Call to a member function findByFood() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:29:43 Asia/Tokyo] PHP Fatal error:  Call to a member function findBytext() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:29:51 Asia/Tokyo] PHP Fatal error:  Call to a member function findByText() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:30:00 Asia/Tokyo] PHP Fatal error:  Call to a member function findByComments() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:30:04 Asia/Tokyo] PHP Fatal error:  Call to a member function findByComment() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:30:55 Asia/Tokyo] PHP Fatal error:  Call to a member function findByComment() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:30:57 Asia/Tokyo] PHP Fatal error:  Call to a member function findByComment() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:41:14 Asia/Tokyo] PHP Fatal error:  Call to undefined function App\Controller\contain() in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:41:55 Asia/Tokyo] PHP Fatal error:  Call to undefined function App\Controller\firstOrFil() in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:55:27 Asia/Tokyo] PHP Fatal error:  Call to undefined function App\Controller\firstOaFil() in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[08-Feb-2018 23:59:05 Asia/Tokyo] PHP Fatal error:  Call to undefined function App\Controller\contain() in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[09-Feb-2018 17:32:28 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in /home/ubuntu/workspace/my_app_name/src/Controller/CommentsController.php on line 24
[09-Feb-2018 17:33:21 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/my_app_name/src/Controller/CommentsController.php on line 30
[09-Feb-2018 17:34:50 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/my_app_name/src/Controller/CommentsController.php on line 30
[09-Feb-2018 17:35:06 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/my_app_name/src/Controller/CommentsController.php on line 30
[09-Feb-2018 17:35:55 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/my_app_name/src/Controller/CommentsController.php on line 27
[09-Feb-2018 17:36:13 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/my_app_name/src/Controller/CommentsController.php on line 27
[09-Feb-2018 17:36:26 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/my_app_name/src/Controller/CommentsController.php on line 27
[09-Feb-2018 17:36:32 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/my_app_name/src/Controller/CommentsController.php on line 27
[09-Feb-2018 17:36:34 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/my_app_name/src/Controller/CommentsController.php on line 27
[09-Feb-2018 17:37:00 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/CommentsController.php on line 22
